date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:06:52	19121/19121	---M-Z	200	added ('OK')	text/html	etag:%22adc0d75-4ab1-55fe4ffd31dae-gzip%22	http://designcollection.in/codecanyon/my-navbar/top-navbar-5.html?ref=designcollection	C:/My%20Web%20Sites/Travelguider-Navbar/designcollection.in/codecanyon/my-navbar/top-navbar-5840e.html	(from )
22:06:52	23/23	---M--	200	added ('OK')	text/plain	etag:%22adc0adc-17-561c2742b9c39%22	http://designcollection.in/robots.txt		(from )
22:06:53	121260/121260	---M--	200	added ('OK')	text/css	etag:%22adc17ef-1d9ac-55fe5d9b83402%22	http://designcollection.in/codecanyon/my-navbar/css/bootstrap.min.css	C:/My%20Web%20Sites/Travelguider-Navbar/designcollection.in/codecanyon/my-navbar/css/bootstrap.min.css	(from http://designcollection.in/codecanyon/my-navbar/top-navbar-5.html?ref=designcollection)
22:06:55	20494/20494	---M--	200	added ('OK')	text/css	etag:%22adc2265-500e-55fe6b232f12a%22	http://designcollection.in/codecanyon/my-navbar/css/demo-5/top-navbar-5.css	C:/My%20Web%20Sites/Travelguider-Navbar/designcollection.in/codecanyon/my-navbar/css/demo-5/top-navbar-5.css	(from http://designcollection.in/codecanyon/my-navbar/top-navbar-5.html?ref=designcollection)
22:06:55	20766/20766	---M--	200	added ('OK')	text/css	etag:%22adc17ed-511e-55fe5d9a6a3e8%22	http://designcollection.in/codecanyon/my-navbar/css/font-awesome.min.css	C:/My%20Web%20Sites/Travelguider-Navbar/designcollection.in/codecanyon/my-navbar/css/font-awesome.min.css	(from http://designcollection.in/codecanyon/my-navbar/top-navbar-5.html?ref=designcollection)
22:06:59	8711/8711	---M--	200	added ('OK')	application/javascript	etag:%22adc2275-2207-55fe6b2ae4775%22	http://designcollection.in/codecanyon/my-navbar/js/nav-js-3/jquery.waypoints.min.js	C:/My%20Web%20Sites/Travelguider-Navbar/designcollection.in/codecanyon/my-navbar/js/nav-js-3/jquery.waypoints.min.js	(from http://designcollection.in/codecanyon/my-navbar/top-navbar-5.html?ref=designcollection)
22:06:59	661/661	---M--	200	added ('OK')	application/javascript	etag:%22adc2273-295-55fe6b2a17a1b%22	http://designcollection.in/codecanyon/my-navbar/js/nav-js-3/custom-nav-scroll.js	C:/My%20Web%20Sites/Travelguider-Navbar/designcollection.in/codecanyon/my-navbar/js/nav-js-3/custom-nav-scroll.js	(from http://designcollection.in/codecanyon/my-navbar/top-navbar-5.html?ref=designcollection)
22:07:00	376/376	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2023%20Mar%202018%2016:37:02%20GMT	http://designcollection.in/codecanyon/my-navbar/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/Travelguider-Navbar/designcollection.in/codecanyon/my-navbar/fonts/glyphicons-halflings-regular.eot	(from http://designcollection.in/codecanyon/my-navbar/css/bootstrap.min.css)
22:07:00	376/376	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2023%20Mar%202018%2016:37:02%20GMT	http://designcollection.in/codecanyon/my-navbar/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/Travelguider-Navbar/designcollection.in/codecanyon/my-navbar/fonts/glyphicons-halflings-regulard41d.eot	(from http://designcollection.in/codecanyon/my-navbar/css/bootstrap.min.css)
22:07:00	378/378	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2023%20Mar%202018%2016:37:03%20GMT	http://designcollection.in/codecanyon/my-navbar/fonts/glyphicons-halflings-regular.woff2	C:/My%20Web%20Sites/Travelguider-Navbar/designcollection.in/codecanyon/my-navbar/fonts/glyphicons-halflings-regular.woff2	(from http://designcollection.in/codecanyon/my-navbar/css/bootstrap.min.css)
22:07:00	377/377	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2023%20Mar%202018%2016:37:03%20GMT	http://designcollection.in/codecanyon/my-navbar/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/Travelguider-Navbar/designcollection.in/codecanyon/my-navbar/fonts/glyphicons-halflings-regular.woff	(from http://designcollection.in/codecanyon/my-navbar/css/bootstrap.min.css)
22:07:01	376/376	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2023%20Mar%202018%2016:37:03%20GMT	http://designcollection.in/codecanyon/my-navbar/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/Travelguider-Navbar/designcollection.in/codecanyon/my-navbar/fonts/glyphicons-halflings-regular.ttf	(from http://designcollection.in/codecanyon/my-navbar/css/bootstrap.min.css)
22:07:01	376/376	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2023%20Mar%202018%2016:37:03%20GMT	http://designcollection.in/codecanyon/my-navbar/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/Travelguider-Navbar/designcollection.in/codecanyon/my-navbar/fonts/glyphicons-halflings-regular.svg	(from http://designcollection.in/codecanyon/my-navbar/css/bootstrap.min.css)
22:07:02	36868/36868	---M--	200	added ('OK')	application/javascript	etag:%22adc182a-9004-55fe5e5002634%22	http://designcollection.in/codecanyon/my-navbar/js/bootstrap.min.js	C:/My%20Web%20Sites/Travelguider-Navbar/designcollection.in/codecanyon/my-navbar/js/bootstrap.min.js	(from http://designcollection.in/codecanyon/my-navbar/top-navbar-5.html?ref=designcollection)
22:07:07	84380/84380	---M--	200	added ('OK')	application/javascript	etag:%22adc182d-1499c-55fe5e51dc441%22	http://designcollection.in/codecanyon/my-navbar/js/jquery.min.js	C:/My%20Web%20Sites/Travelguider-Navbar/designcollection.in/codecanyon/my-navbar/js/jquery.min.js	(from http://designcollection.in/codecanyon/my-navbar/top-navbar-5.html?ref=designcollection)
22:07:12	70807/70807	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22adc17f3-11497-55fe5d9f0533b%22	http://designcollection.in/codecanyon/my-navbar/fonts/fontawesome-webfont.eot?v=4.1.0	C:/My%20Web%20Sites/Travelguider-Navbar/designcollection.in/codecanyon/my-navbar/fonts/fontawesome-webfont862f.eot	(from http://designcollection.in/codecanyon/my-navbar/css/font-awesome.min.css)
22:07:14	70807/70807	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22adc17f3-11497-55fe5d9f0533b%22	http://designcollection.in/codecanyon/my-navbar/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/Travelguider-Navbar/designcollection.in/codecanyon/my-navbar/fonts/fontawesome-webfontd41d.eot	(from http://designcollection.in/codecanyon/my-navbar/css/font-awesome.min.css)
22:07:15	365616/365616	---M--	200	added ('OK')	image/svg+xml	etag:%22adc17f2-59430-55fe5da28fb2b%22	http://designcollection.in/codecanyon/my-navbar/fonts/fontawesome-webfont.svg?v=4.1.0	C:/My%20Web%20Sites/Travelguider-Navbar/designcollection.in/codecanyon/my-navbar/fonts/fontawesome-webfont862f.svg	(from http://designcollection.in/codecanyon/my-navbar/css/font-awesome.min.css)
22:07:21	83588/83588	---M--	200	added ('OK')	application/font-woff	etag:%22adc17f6-14684-55fe5da508449%22	http://designcollection.in/codecanyon/my-navbar/fonts/fontawesome-webfont.woff?v=4.1.0	C:/My%20Web%20Sites/Travelguider-Navbar/designcollection.in/codecanyon/my-navbar/fonts/fontawesome-webfont862f.woff	(from http://designcollection.in/codecanyon/my-navbar/css/font-awesome.min.css)
22:07:28	142072/142072	---M--	200	added ('OK')	application/x-font-ttf	etag:%22adc17f4-22af8-55fe5da412e7f%22	http://designcollection.in/codecanyon/my-navbar/fonts/fontawesome-webfont.ttf?v=4.1.0	C:/My%20Web%20Sites/Travelguider-Navbar/designcollection.in/codecanyon/my-navbar/fonts/fontawesome-webfont862f.ttf	(from http://designcollection.in/codecanyon/my-navbar/css/font-awesome.min.css)
22:07:36	456458/456458	---M--	200	added ('OK')	image/jpeg	etag:%22adc1801-6f70a-55fe5daeab8f0%22	http://designcollection.in/codecanyon/my-navbar/image/landscape.jpg	C:/My%20Web%20Sites/Travelguider-Navbar/designcollection.in/codecanyon/my-navbar/image/landscape.jpg	(from http://designcollection.in/codecanyon/my-navbar/top-navbar-5.html?ref=designcollection)
